name,category,weight
MLD Burn pack - custom w/ two hip pockets,backpack,522
Hefty trash compactor bag,pack liner,62
sea to summit ultra-sil nano dry sack 8L,clothing sack,27
katabatic stuff sack,sleeping bag stuff sack,16
Granite Gear LG,ditty sack,23
MLD Sil ProPoncho,shelter,350
"MSR groundhog (2) & Vargo titanium shepherd crook stakes (6), guylines, tarp pole, stuff sack",tarp accessories,174
MLD Superlight Bivy,bivy,198
GG polycryo groundsheet,groundsheet,45
Katabatic palisade quilt 30°,sleeping bag,486
"therm-a-rest z-lite small, minus 2 sections",sleeping pad,241
Golite Chrome Dome,umbrella,227
Mountain Hardware power-stretch gloves,gloves,37
Darn Tough 1/4 length ultralight womens medium,spare socks,50
Mont Bell ultralight down vest,vest,147
Ibex Balance Brief,spare undies,34
Mont Bell Tachyon Anorak,wind shirt,62
Smartwool microweight,base bottoms,125
EMS Techwick,base top,116
EMS headband,warm hat,24
Victorinox Swiss Army Climber knife,knife,85
Petzl Zipka Plus 2 headlamp,light,71
"mini bic lighter, REI Stormproof matches, tinder",firestarter,23
Silva Polaris,compass,26
cards + aLoksak,wallet,20
"Tenacious tape, needle & thread",repair kit,11
"Aqua Mira drops, contact case for mixing",water treatment,105
Halfmile maps,maps,27
"contact case, solution, glasses & case",vision correction,278
bandana,camp towel,34
pink sparkly case & essix retainer,retainer & case,34
little half mirror,mirror,11
"2 pads, Diva cup, 2 tampons",menstrual products,43
"first aid kit, ace bandage, MD ditty sack",first aid,241
"tooth brush, floss, toothpaste, SM ditty sack",tooth care,35
"1 oz Dr Bronners, 1/4 oz baking soda, hand sanitizer",cleaning,113
5 sheets/day,toilet paper,28
Badger Sport SPF 35 zinc oxide - 1oz decanted,sunscreen,37
Alba passion fruit nectar lip balm,chapstick,9
"Canon Powershot S100, sock sleeve",camera,203
"2 batteries, 2 memory cards, card reader",camera accessories,51
iPhone 4,cell phone,142
"usb cord & wall adapter, canon battery charger",chargers,106
softcover Moleskine & pen,journal & pen,119
SPOT gen 1,spy device,208
Smart 1L water bottles x 2,water container,79
Light My Fire Spork,eating utensil,9
OPsak 12x20,food bag,43
empty nutella container,food container,41
"Oiselle distance short, liner cut out - medium",bottom,91
Icebreaker flash short-sleeve v-neck,top,109
Ibex Balance Brief,undies,34
Smartwool PhD crew - womens medium,socks,34
Patagonia Barely Everyday Bra - small ,bra,40
Altra Lone Peak 1.5,shoes,568
Dirty Girl - medium,gaiters,34
OR Transit Sun Hat,hat,96
plastic swag sunglasses,sunglasses,24
Garcia Backpacker's Cache 812,bear canister,961
Kahtoola microspikes,traction,388
sea to summit compression sack,sleeping bag stuff sack,67
SMD Skyscape Trekker w/ MSR groundhog stakes (5),shelter,794
"MSR groundhog (2) & Vargo titanium shepherd crook stakes (6), guylines, tarp pole, stuff sack",tarp accessories,174
"western mountaineering versalite 10° - 5'6""",sleeping bag,904
Rab Microlight Jacket - w m,puffy,352
Patagonia Torrent shell - w s,raincoat,299
ULA Circuit,backpack,1114
Patagonia Houdini pants - s,wind pants,88
Icebreaker Oasis Leggings,base bottoms,162
EMS silk lightweight long underwear,base bottoms,82
Ibex Hooded Indie,base top,224
Icebreaker Reversible Training Beanie,warm hat,47
Merino wool buff,buff,48
cheap flip flops,camp shoes,106
Leatherman Squirt PS4,knife,57
10mL bottle of bleach,water treatment,16
spare AAA batteries x 3,batteries,34
"2 gallon, 2 quart",extra ziplocs,37
little half mirror,mirror,11
stuffed marmoset,traveling companion,78
"MSR micro-rocket, firestarter, case",stove,122
MSR iso-pro 4oz,fuel canister (empty),102
MSR Titan Kettle .85L,cookpot w/ lid,122
Vargo Eagle Titanium spork,eating utensil,18
Bend Brewfest plastic mug,cup,55
Lucy Hatha Short - m,bottom,116
Icebreaker flash short-sleeve v-neck,top,109
Smartwool PhD crew - w m,socks,34
Patagonia Barely Everyday Bra - s,bra,40
Altra Lone Peak 1.5 - w 9.5,shoes,568
Dirty Girl - medium,gaiters,34
OR Transit Sun Hat,hat,96
Grimm trucker hat,hat,69
plastic swag sunglasses,sunglasses,24
Leki Lhasa Lite,trekking poles,550
Sea to Summit headnet,bug net,27
"Repel Lemon Eucalyptus insect repellent spray, 4 oz",bug spray,142
tarptent double rainbow & liner,shelter,1313
Marmot crystalline,rain jacket,164
Tom Harrison JMT map pack,map,57
Sawyer Squeeze plus 32oz bag,water filtration,159
REI Aldervale Roll-up pants,pants,227
Smartwool Microweight V-Neck Longsleeve,shirt,139
Moving Comfort Serena Seamless sports bra,bra,85
Keen Targee mid-height,shoes,499
